Year,Group,Type,Number
1990,Unknown,Minor Injury,388
1991,Unknown,Minor Injury,44
1992,Unknown,Minor Injury,67
1993,Unknown,Minor Injury,93
1994,Unknown,Minor Injury,82
1995,Unknown,Minor Injury,142
1996,Unknown,Minor Injury,255
1997,Unknown,Minor Injury,270
1998,Unknown,Minor Injury,283
1999,Unknown,Minor Injury,232
2000,Unknown,Minor Injury,135
2001,Unknown,Minor Injury,164
2002,Unknown,Minor Injury,116
2003,Unknown,Minor Injury,165
2004,Unknown,Minor Injury,74
2005,Unknown,Minor Injury,107
2006,Unknown,Minor Injury,144
2007,Unknown,Minor Injury,56
2008,Unknown,Minor Injury,168
2009,Unknown,Minor Injury,373
2010,Unknown,Minor Injury,166
2011,Unknown,Minor Injury,182
2012,Unknown,Minor Injury,374
2013,Unknown,Minor Injury,279
1990,Unknown,Severe Injury,66
1991,Unknown,Severe Injury,0
1992,Unknown,Severe Injury,0
1993,Unknown,Severe Injury,0
1994,Unknown,Severe Injury,0
1995,Unknown,Severe Injury,0
1996,Unknown,Severe Injury,0
1997,Unknown,Severe Injury,0
1998,Unknown,Severe Injury,1
1999,Unknown,Severe Injury,0
2000,Unknown,Severe Injury,1
2001,Unknown,Severe Injury,1
2002,Unknown,Severe Injury,11
2003,Unknown,Severe Injury,20
2004,Unknown,Severe Injury,4
2005,Unknown,Severe Injury,11
2006,Unknown,Severe Injury,8
2007,Unknown,Severe Injury,6
2008,Unknown,Severe Injury,27
2009,Unknown,Severe Injury,32
2010,Unknown,Severe Injury,7
2011,Unknown,Severe Injury,20
2012,Unknown,Severe Injury,49
2013,Unknown,Severe Injury,31
1990,Unknown,Killed,5
1991,Unknown,Killed,0
1992,Unknown,Killed,0
1993,Unknown,Killed,0
1994,Unknown,Killed,0
1995,Unknown,Killed,0
1996,Unknown,Killed,0
1997,Unknown,Killed,0
1998,Unknown,Killed,0
1999,Unknown,Killed,0
2000,Unknown,Killed,0
2001,Unknown,Killed,0
2002,Unknown,Killed,0
2003,Unknown,Killed,0
2004,Unknown,Killed,2
2005,Unknown,Killed,2
2006,Unknown,Killed,2
2007,Unknown,Killed,2
2008,Unknown,Killed,27
2009,Unknown,Killed,4
2010,Unknown,Killed,12
2011,Unknown,Killed,13
2012,Unknown,Killed,8
2013,Unknown,Killed,6
1990,65+,Minor Injury,1423
1991,65+,Minor Injury,1570
1992,65+,Minor Injury,1598
1993,65+,Minor Injury,1622
1994,65+,Minor Injury,1602
1995,65+,Minor Injury,1560
1996,65+,Minor Injury,1648
1997,65+,Minor Injury,1727
1998,65+,Minor Injury,1684
1999,65+,Minor Injury,1711
2000,65+,Minor Injury,1496
2001,65+,Minor Injury,1395
2002,65+,Minor Injury,1469
2003,65+,Minor Injury,1439
2004,65+,Minor Injury,1508
2005,65+,Minor Injury,1527
2006,65+,Minor Injury,1657
2007,65+,Minor Injury,1608
2008,65+,Minor Injury,1604
